STATE,DISTRICT,STATION,LATITUDE,LONGITUDE,STATION_TYPE,JAN (Level m),FEB (Level m),MAR (Level m),APR (Level m),MAY (Level m),JUN (Level m),JUL (Level m),AUG (Level m),SEP (Level m),OCT (Level m),NOV (Level m),DEC (Level m),YEAR
PUNJAB,HOSHIARPUR,Heer Beh-PZ,31.896666669857357,75.83166667025999,Manual,,,,,,,,,,23.5,,23.2,2018
PUNJAB,KAPURTHALA,Kapurthala2 (s),31.369444440028378,75.38055555958377,Manual,,,,23.8,23.8,,,28.91,,22.65,,19.94,2018
PUNJAB,AMRITSAR,Shahpur1,31.802777779619568,74.66111111006936,Manual,,,,,,,,,,,,,2018
PUNJAB,PATIALA,Nanhera-Pz,30.462499999806706,76.70499999960062,Manual,,,,,26.2,,,,,25.8,,25.2,2018
PUNJAB,KAPURTHALA,Sheikh Manga-Pz,31.179722220075536,75.09444443985612,Manual,,,,,,,,,,,,,2018
PUNJAB,GURDASPUR,GURDASPUR;BATALA;FATEHGARH CHURIAN ;PARCHA;Govt. Elem. School,31.904166666906285,75.04499999978104,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,SANGRUR,SANGRUR;MALERKOTLA;MALERKOTLA;RURKE KALAN;Vet. Hospital,30.562777777597564,76.01083333328776,TELEMETRIC,,,,,,,,,,,,,2018
PUNJAB,GURDASPUR,Kalanaur2,32.00833333042231,75.15416667045449,Manual,,,,12.41,12.41,,,,,12.19,,,2018
PUNJAB,SHAHID BHAGAT SINGH NAGAR,Bahua-Pz,31.21249999973411,75.82499999977647,Manual,,,,,23.8,,,,,25.3,,21.9,2018
PUNJAB,HOSHIARPUR,Budhi Pind-Pz,31.686111110245587,75.68333332950154,Manual,,,,,,,,,,17.4,,,2018
PUNJAB,LUDHIANA,Jagraon 1(d),30.774999999932668,75.47083333022549,Manual,,,,,,,,37.21,,23.64,,,2018
PUNJAB,FIROZPUR,Moujgarh,30.063888889769757,73.9366666697403,Manual,,,,,,,,,,,,,2018
PUNJAB,PATIALA,Gulwatti-PZ,30.417500000449937,76.05833333049866,Manual,,,,,32.8,,,,,34.3,,33.85,2018
PUNJAB,FIROZPUR,Lauhke Kalan- Pz,31.063055559744555,74.84583333037892,Manual,,,,18.35,18.35,,,23.4,,20.28,,18.27,2018
PUNJAB,LUDHIANA,Lodhiwal-Pz,30.931944439963388,75.41166666975239,Manual,,,,,11.5,,,,,10.75,,11.5,2018
